episode_id,peak_idx,trough_idx,recovery_idx,peak_time,trough_time,recovery_time,peak_equity,trough_equity,recovery_equity,depth_pct,days_to_trough,days_to_recovery,recovered,btc_peak_to_trough_pct,btc_peak_to_recovery_pct,bullish_4h_share_pct,bearish_4h_share_pct,long_share_pct,short_share_pct,flat_share_pct,short_gate_open_share_pct,avg_bearish_ob_above_count,avg_bullish_ob_below_count,side_change_count,episode_label
U406,153381,153392,153406.0,2025-05-18 17:15:00,2025-05-18 20:00:00,2025-05-18 23:30:00,193293.7663244378,184077.01416312734,193436.464387024,4.768261458489265,0.11458333333333333,0.2604166666666667,True,-2.258839275333968,0.03497240488214981,100.0,0.0,100.0,0.0,0.0,0.0,4.5,4.916666666666667,0,혼합형 추세/휩쏘
U407,153406,153407,153408.0,2025-05-18 23:30:00,2025-05-18 23:45:00,2025-05-19 00:00:00,193436.464387024,192837.132524162,196026.24138774374,0.309833962671513,0.010416666666666666,0.020833333333333332,True,-0.14683274956134307,0.6344799956913949,100.0,0.0,100.0,0.0,0.0,0.0,3.0,5.0,0,혼합형 추세/휩쏘
U408,153408,153436,153513.0,2025-05-19 00:00:00,2025-05-19 07:00:00,2025-05-20 02:15:00,196026.24138774374,179602.08005451225,196578.1357865568,8.378552390209926,0.2916666666666667,1.09375,True,-3.9984526722387947,0.13435837538096074,100.0,0.0,100.0,0.0,0.0,0.0,2.3793103448275863,4.931034482758621,0,혼합형 추세/휩쏘
U409,153513,153559,153584.0,2025-05-20 02:15:00,2025-05-20 13:45:00,2025-05-20 20:00:00,196578.1357865568,187215.2145287054,197128.87317405167,4.762951495286128,0.4791666666666667,0.7395833333333334,True,-2.2763393665031106,0.1338968000727636,100.0,0.0,100.0,0.0,0.0,0.0,2.765957446808511,4.872340425531915,0,혼합형 추세/휩쏘
U410,153584,153585,153587.0,2025-05-20 20:00:00,2025-05-20 20:15:00,2025-05-20 20:45:00,197128.87317405167,196078.69256750515,197352.17635847707,0.5327380964732065,0.010416666666666666,0.03125,True,-0.2549814078007695,0.05421749361609329,100.0,0.0,100.0,0.0,0.0,0.0,2.0,5.0,0,혼합형 추세/휩쏘
U411,153588,153593,153598.0,2025-05-20 21:00:00,2025-05-20 22:15:00,2025-05-20 23:30:00,197573.55119070536,195038.53939238365,197646.44290375616,1.283072447219824,0.052083333333333336,0.10416666666666667,True,-0.6148311529416972,0.0176788510430681,100.0,0.0,100.0,0.0,0.0,0.0,2.0,5.0,0,혼합형 추세/휩쏘
U412,153598,153599,153601.0,2025-05-20 23:30:00,2025-05-20 23:45:00,2025-05-21 00:15:00,197646.44290375616,196990.41748629906,198233.8189829961,0.3319186562727783,0.010416666666666666,0.03125,True,-0.1590815355997588,0.14243455539002525,100.0,0.0,100.0,0.0,0.0,0.0,2.0,5.0,0,혼합형 추세/휩쏘
U413,153601,153610,153619.0,2025-05-21 00:15:00,2025-05-21 02:30:00,2025-05-21 04:45:00,198233.8189829961,195752.0297053146,199202.2374563851,1.251950494831755,0.09375,0.1875,True,-0.60096041599349,0.23450063784919983,100.0,0.0,100.0,0.0,0.0,0.0,2.0,5.0,0,혼합형 추세/휩쏘
U414,153622,153625,153626.0,2025-05-21 05:30:00,2025-05-21 06:15:00,2025-05-21 06:30:00,200179.1406794414,199365.7617227001,201331.90962287417,0.4063255312119707,0.03125,0.041666666666666664,True,-0.19603468949555003,0.2778319994794609,100.0,0.0,100.0,0.0,0.0,0.0,1.5,5.0,0,혼합형 추세/휩쏘
U415,153626,153639,153660.0,2025-05-21 06:30:00,2025-05-21 09:45:00,2025-05-21 15:00:00,201331.90962287417,194409.5109056861,204136.11938791262,3.438301822177514,0.13541666666666666,0.3541666666666667,True,-1.6637638009712408,0.6739777478891318,100.0,0.0,100.0,0.0,0.0,0.0,2.5,4.428571428571429,0,혼합형 추세/휩쏘
